#t/s	T1/°C	T2/°C	pa/bar	pb/bar	P/W
0	21.5	21.1	4	3.7	125
30	21.1	21.6	3.5	5	125
60	22	21.1	3.3	5	123
90	22.6	20.8	3.4	5.1	125
120	23.2	20.2	3.6	5.3	126
150	23.9	19.7	3.7	5.5	126
180	24.5	19.2	3.7	5.6	125
210	25.2	18.5	3.8	5.8	125
240	25.8	17.9	3.8	5.9	125
270	26.5	17.4	3.8	6.0	126
300	27.1	16.9	3.8	6.05	125
330	27.8	16.4	3.7	6.2	125
360	28.4	16.0	3.7	6.3	125
390	29.1	15.5	3.6	6.5	125
420	29.7	15.0	3.6	6.7	125
450	30.4	14.8	3.5	6.8	125
480	31.0	14.6	3.5	6.9	125
510	31.6	14.4	3.4	7.0	125
540	32.2	13.6	3.4	7.0	125
570	32.8	13.3	3.3	7.1	125
600	33.3	12.9	3.2	7.2	124
630	33.9	12.5	3.2	7.4	124
660	34.5	12.2	3.2	7.5	124
690	35.0	11.8	3.1	7.6	124
720	35.5	11.5	3.1	7.8	124
750	36.1	11.1	3.0	7.9	124
780	36.6	10.8	3.0	8.0	124
810	37.1	10.5	3.0	8.05	124
840	37.6	10.1	3.0	8.1	124
870	38.1	9.8	2.95	8.3	124
900	38.6	9.5	2.9	8.4	124
930	39.0	9.2	2.9	8.5	124
960	39.5	8.9	2.8	8.6	124
990	40.0	8.6	2.8	8.8	125
1020	40.5	8.3	2.8	8.9	125
1050	40.9	8.0	2.8	9.0	125
1080	41.4	7.7	2.8	9.05	125
1110	41.8	7.5	2.75	9.2	125
1140	42.2	7.2	2.75	9.3	125
1170	42.6	7.0	2.7	9.4	125
1200	43.1	6.7	2.7	9.5	125
1230	43.5	6.5	2.65	9.6	125
1260	43.9	6.3	2.6	9.7	125
1290	44.3	6.1	2.6	9.8	125
1320	44.7	5.9	2.6	9.9	125
1350	45.1	5.7	2.6	10.0	125
1380	45.5	5.5	2.6	10.05	125
1410	45.8	5.3	2.6	10.1	125
1440	46.2	5.1	2.6	10.2	125
1470	46.6	4.9	2.6	10.3	125
1500	47.0	4.8	2.6	10.4	125
1530	47.3	4.6	2.55	10.5	125
1560	47.7	4.4	2.5	10.6	125
1590	48.0	4.3	2.5	10.7	125
1620	48.4	4.1	2.5	10.8	125
1650	48.7	4.0	2.5	10.9	125
1680	49.0	3.9	2.5	11.0	125
1710	49.4	3.7	2.45	11.05	125
1740	49.7	3.6	2.45	11.1	125
1770	50.0	3.5	2.4	11.2	125
