#f/Hz U_C/V a/ms U_0/V
5 7.3 1.2 7.12
10 7.8 1.6 7.68
15 8.0 1.2 7.84
20 8.0 1.2 7.84
30 7.8 1.2 7.92
40 7.44 1.2 7.92
50 7.2 1.28 7.92
75 6.64 1.16 7.92
100 6.08 1.12 7.92
500 1.82 0.42 7.92
1000 0.96 0.224 7.92
#10000 0.096 0.0248 7.92
#100000 0.0104 0.0248 7.92
#1000000 0.0014 232e-6 8.4
125 5.52 1 8.0
150 4.96 0.92 7.92
175 4.48 0.88 7.92
200 4.16 0.76 7.92
225 3.76 0.76 7.92
250 3.52 0.68 7.92
275 3.28 0.64 7.92
300 3.04 0.60 7.92
325 2.88 0.60 7.92
350 2.64 0.56 7.92
375 2.48 0.52 7.92
400 2.32 0.48 7.92
425 2.16 0.48 7.92
450 2.09 0.44 7.92
475 1.92 0.44 7.92
#500 1.84 0.42 7.92
600 1.54 0.360 7.92
700 1.32 0.312 7.92
800 1.18 0.280 7.92
900 1.06 0.256 7.92
#2500 0.384 0.096 7.92
#5000 0.118 0.048 7.92
#7500 0.128 0.0328 7.92
