#phi/rad I1/µA
0 15.49945
0.000431034 10.99945
0.000862069 5.49945
0.001293103 1.29945
0.001724138 0.35945
0.002155172 0.64945
0.002586207 0.57945
0.003017241 0.24445
0.003448276 0.15945
0.00387931 0.29445
0.004310345 0.28945
0.004741379 0.14945
0.005172414 0.08545
0.005603448 0.11445
0.006034483 0.10445
0.006465517 0.06345
0.006896552 0.06745
0.007327586 0.09345
0.007758621 0.07945
0.008189655 0.04545
0.00862069 0.04345
0.009051724 0.06045
0.009482759 0.05345
0.009913793 0.03445
0.010344828 0.03445
0.010775862  0.04145
-0.000431034 14.99945
-0.000862069  9.79945
-0.001293103 4.09945
-0.001724138  0.87945
-0.002155172  0.63945
-0.002586207 0.39945
-0.003017241   0.45945
-0.003448276 0.14945
-0.00387931 0.13445
-0.004310345 0.23945
-0.004741379 0.20245
-0.005172414  0.10245
-0.005603448  0.09345
-0.006034483 0.11945
-0.006465517 0.08545
-0.006896552 0.04145
-0.007327586 0.05045
-0.007758621 0.07145
-0.008189655 0.05945
-0.00862069 0.04545
-0.009051724 0.05745
-0.009482759 0.06445
-0.009913793  0.04545
-0.010244828 0.02645
-0.010775862 0.03145
