#phi/rad I2/nA
0 2049.45
0.000431034 1999.45
0.000862069 1879.45
0.001293103 1649.45
0.001724138 1399.45
0.002155172 1099.45
0.002586207 819.45
0.003017241 559.45
0.003448276 329.45
0.00387931 179.45
0.004310345 78.45
0.004741379 25.95
0.005172414 12.45
0.005603448 12.95
0.006034483 49.45
0.006465517 71.45
0.006896552 87.45
0.007327586 90.45
0.007758621 80.45
0.008189655 64.45
0.00862069 44.45
0.009051724 26.45
0.009482759 12.95
0.009913793 7.05
0.010344828 7.85
0.010775862 13.45
-0.000431034 2074.45
-0.000862069 1949.45
-0.001293103 1749.45
-0.001724138 1474.45
-0.002155172 1199.45
-0.002586207 879.45
-0.003017241 629.45
-0.003448276 399.45
-0.00387931 229.45
-0.004310345 109.45
-0.004741379 42.45
-0.005172414 14.45
-0.005603448 15.95
-0.006034483 49.45
-0.006465517 63.45
-0.006896552 69.45
-0.007327586 55.45
-0.007758621 40.45
-0.008189655 15.95
-0.00862069 14.45
-0.009051724 5.45
-0.009482759 5.45
-0.009913793 7.15
-0.010344828 10.95
-0.010775862 14.95
