#d/mm I/nA
25.00 1350
24.75 1150
24.50 780
24.25 560
24.00 750
23.75 1100
23.50 1250
23.25 1050
23.00 660
22.75 500
22.50 670
22.25 950
22.00 1040
21.75 820
21.50 500
21.25 380
21.00 510
20.75 680
20.50 710
20.25 540
20.00 320
19.75 235
19.50 300
19.25 390
19.00 400
18.75 300
18.50 165
18.25 115
18.00 140
17.75 175
17.50 170
17.25 120
17.00 65
16.75 40
16.50 44
16.25 50
16.00 44
15.75 30
15.50 18
15.25 13.5
15.00 13.0
25.25 1150
25.50 760
25.75 575
26.00 780
26.25 1125
26.50 1250
26.75 1010
27.00 640
27.25 480
27.50 640
27.75 920
28.00 985
28.25 760
28.50 460
28.75 340
29.00 450
29.25 620
29.50 640
29.75 490
30.00 280
30.25 200
30.50 260
30.75 340
31.00 340
31.25 240
31.50 135
31.75 94
32.00 115
32.25 143
32.50 135
32.75 94
33.00 48
33.25 27
33.50 27.5
33.75 32
34.00 30
34.25 20.5
34.50 11.5
34.75 6.4
35.00 5.0
