#d/mm I1/µA I2/nA I3/nA
25.0 15.5  2050 250
24.5 11.0  2000 250
24.0 5.5   1880 245
23.5 1.3   1650 237
23.0 0.36  1400 230
22.5 0.65  1100 220
22.0 0.58  820  210
21.5 0.245 560  200
21.0 0.16  330  185
20.5 0.295 180  170
20.0 0.290 79   155
19.5 0.150 26.5 140
19.0 0.086 13.0 125
18.5 0.115 25.5 110
18.0 0.105 50   96
17.5 0.064 72   82
17.0 0.068 88   69
16.5 0.094 91   58
16.0 0.080 81   48
15.5 0.046 65   38
15.0 0.044 45   30
14.5 0.061 27.0 23
14.0 0.054 13.5 17
13.5 0.035 7.6  12.5
13.0 0.035 8.4  9.1
12.5 0.042 14   6.6
25.5 15.0  2075 255
26.0 9.8   1950 250
26.5 4.1   1750 245
27.0 0.88  1475 236
27.5 0.40  1200 230
28.0 0.64  880  217
28.5 0.46  630  205
29.0 0.150 400  195
29.5 0.135 230  180
30.0 0.240 110  165
30.5 0.203 43   150
31.0 0.103 15   135
31.5 0.094 16.5 120
32.0 0.120 50   105
32.5 0.086 64   90
33.0 0.042 70   76
33.5 0.051 56   64
34.0 0.072 41   52
34.5 0.060 26.5 42
35.0 0.046 15.0 34
35.5 0.058 6.0  27
36.0 0.065 6.0  20.5
36.5 0.046 7.7  15.5
37.0 0.027 11.5 11.0
37.5 0.032 15.5 8.3
