#U_H/V I1/mA I2/mA I3/mA I4/mA I5/mA
0   0     0     0     0     0
5   0.014 0.014 0.012 0.013 0.011
10  0.031 0.030 0.027 0.031 0.029
15  0.053 0.050 0.046 0.050 0.048
20  0.078 0.073 0.068 0.074 0.069
25  0.108 0.103 0.096 0.099 0.090
30  0.141 0.137 0.128 0.123 0.114
35  0.180 0.174 0.158 0.151 0.135
40  0.219 0.212 0.196 0.184 0.154
45  0.259 0.251 0.234 0.212 0.175
50  0.312 0.297 0.275 0.240 0.200
55  0.358 0.344 0.318 0.272 0.223
60  0.406 0.399 0.370 0.319 0.243
70  0.521 0.507 0.459 0.388 0.270
80  0.641 0.613 0.552 0.452 0.298
90  0.771 0.723 0.642 0.517 0.322
100 0.888 0.832 0.729 0.574 0.335
110 1.024 0.951 0.822 0.624 0.343
120 1.160 1.077 0.909 0.669 0.349
130 1.303 1.194 0.990 0.704 0.353
140 1.442 1.315 1.069 0.732 0.357
150 1.589 1.441 1.146 0.757 0.360
160 1.740 1.558 1.215 0.774 0.363
170 1.891 1.678 1.288 0.787 0.365
180 2.03  1.786 1.341 0.793 0.368
190 2.18  1.901 1.396 0.802 0.370
200 2.35  2.02  1.446 0.809 0.372
210 2.50  2.12  1.489 0.814 0.373
220 2.66  2.23  1.523 0.816 0.374
230 2.82  2.33  1.562 0.818 0.376
240 2.98  2.43  1.583 0.820 0.378
250 3.12  2.52  1.604 0.824 0.379
